VendorNumber,VendorName,Brand,Description,Classification,PurchaseQuantity,SalesQuantity,PurchaseCost,Revenue,GrossProfit,GrossMarginPct,AllocatedFreight,AdjustedProfit,AdjustedMarginPct,ExciseTax,AvgUnitCost,AvgUnitRevenue,ReferencePurchasePrice,ReferenceRetailPrice,VolumeML,AvgLeadDays,StockTurnover,SalesToPurchaseRatio,UnsoldQuantity,InventoryAtRisk,PurchaseLineCount,InvoiceCount,InvoiceValue,LeadDaySum,LeadDayCount,FreightCost
90011,FORTUNE WINE BROKERS LLC,26146,Montelvini CabMerlot,2,1.0,1.0,151.01,221.99,70.98000000000002,31.974413261858647,0.7676260247885766,70.21237397521143,31.62862019695096,3.0,151.01,221.99,151.01,221.99,20000.0,8.0,1.0,1.470035097013443,0.0,0.0,1.0,53.0,46940.17,8.0,1.0,238.61
9552,M S WALKER INC,22092,Latour L'Ardeche Chard,2,60.0,43.0,486.0,558.5699999999999,72.56999999999994,12.992104839142801,2.4687852566812722,70.10121474331866,12.550121693488492,4.8100000000000005,8.1,12.989999999999998,8.1,11.99,750.0,9.75,0.7166666666666667,1.149320987654321,17.0,137.7,4.0,55.0,10935817.3,39.0,4.0,55551.82
7749,R.P.IMPORTS INC,19592,Ch Fonroque St Emilion 10,2,1.0,2.0,33.76,103.98,70.22,67.53221773417964,0.16451304184350216,70.0554869581565,67.37400169086025,0.22,33.76,51.99,33.76,51.99,750.0,12.0,2.0,3.079976303317536,0.0,0.0,1.0,16.0,18776.87,12.0,1.0,91.5
9552,M S WALKER INC,21406,Banshee Rose 14 Pnt Nr Sonom,2,12.0,12.0,133.2,203.88,70.68,34.66745144202473,0.6766300333126449,70.00336996668736,34.33557483161044,1.35,11.1,16.99,11.1,16.99,750.0,8.0,1.0,1.5306306306306308,0.0,0.0,1.0,55.0,10935817.3,8.0,1.0,55551.82
4692,KOBRAND CORPORATION,22552,Jadot Santenay Malte Roug 12,2,0.0,2.0,0.0,69.98,69.98,100.0,0.0,69.98,100.0,0.22,0.0,34.99,23.64,34.99,750.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,1808146.33,0.0,0.0,9139.380000000001
9552,M S WALKER INC,22359,Maimai Hawke's Bay Svgn Bl,2,0.0,5.0,0.0,69.95,69.95,100.0,0.0,69.95,100.0,0.55,0.0,13.99,9.08,13.99,750.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,10935817.3,0.0,0.0,55551.82
17035,PERNOD RICARD USA,41780,Stoneleigh Svgn Bl Marlboro,2,0.0,7.0,0.0,69.93,69.93,100.0,0.0,69.93,100.0,0.78,0.0,9.99,6.45,9.99,750.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,24124091.56,0.0,0.0,123780.22
8673,STE MICHELLE WINE ESTATES,18173,Seven Falls Chard,2,132.0,93.0,947.76,1022.0699999999999,74.30999999999995,7.270539199859105,4.888164012857043,69.4218359871429,6.79227802275215,10.440000000000001,7.18,10.989999999999998,7.18,10.99,750.0,7.777777777777778,0.7045454545454546,1.0784059255507723,39.0,280.02,9.0,55.0,3086650.7,70.0,9.0,15919.7
3252,E & J GALLO WINERY,14420,Livingston Clrs Pnt Grigio,2,36.0,32.0,185.39999999999998,255.68,70.28000000000003,27.487484355444312,0.9348276226439048,69.34517237735612,27.121860285261313,7.12,5.1499999999999995,7.99,5.15,7.99,1500.0,8.2,0.8888888888888888,1.379072276159655,4.0,20.599999999999998,5.0,55.0,12289608.09,41.0,5.0,61966.91
6785,PALM BAY INTERNATIONAL INC,24023,Cavit Merlot Trentino,2,24.0,24.0,145.68,215.76,70.07999999999998,32.48053392658509,0.7357266732134259,69.34427332678656,32.13954084482136,2.7,6.07,8.99,6.07,8.99,750.0,11.0,1.0,1.4810543657331134,0.0,0.0,2.0,55.0,2693984.33,22.0,2.0,13605.41
